iter	Passed	Remaining
457	806	954
458	806	950
459	807	947
460	808	944
461	808	941
462	809	939
463	810	936
464	812	935
465	813	932
466	814	929
467	815	926
468	815	923
469	816	920
470	816	917
471	817	914
472	818	911
473	818	908
474	819	905
475	819	902
476	820	899
477	820	896
478	821	893
479	822	890
480	822	887
481	823	884
482	824	882
483	826	880
484	827	878
485	828	876
486	830	874
487	831	872
488	832	869
489	833	867
490	834	865
491	838	865
492	840	864
493	842	862
494	844	861
495	845	859
496	847	857
497	848	854
498	848	852
499	849	849
500	850	846
501	850	843
502	851	841
503	851	838
504	852	835
505	852	832
506	854	830
507	856	829
508	857	827
509	858	825
510	860	823
511	862	821
512	863	819
513	863	816
514	864	814
515	865	811
516	865	808
517	866	806
518	866	803
519	868	801
520	869	799
521	872	798
522	873	796
523	874	794
524	875	791
525	875	789
526	876	786
527	877	784
528	881	784
529	890	789
530	893	789
531	895	787
532	896	785
533	903	788
534	906	787
535	907	785
536	908	783
537	909	780
538	910	778
539	911	776
540	911	773
541	913	771
542	915	770
543	917	768
544	917	766
545	918	764
546	919	761
547	920	759
548	921	757
549	922	754
550	923	752
551	923	749
552	924	747
553	925	745
554	926	742
555	927	740
556	928	738
557	931	737
558	931	735
559	932	732
560	933	730
561	934	728
562	935	726
563	936	723
564	937	721
565	938	719
566	939	717
567	940	715
568	941	713
569	942	710
570	943	708
571	945	707
572	947	705
573	948	703
574	949	701
575	951	700
576	952	698
577	953	695
578	954	693
579	956	692
580	958	691
581	960	689
582	961	687
583	962	685
584	963	683
585	963	680
586	964	678
587	965	676
588	966	674
589	967	672
590	968	670
591	969	667
592	969	665
593	970	663
594	973	662
595	975	661
596	976	658
597	976	656
598	977	654
599	978	652
600	978	649
601	979	647
602	980	645
603	980	643
604	981	640
605	982	638
606	983	636
607	983	634
608	984	632
609	986	630
610	989	630
611	990	628
612	991	625
613	992	623
614	992	621
615	993	619
616	994	617
617	995	615
618	996	613
619	996	610
620	997	608
621	998	606
622	999	604
623	999	602
624	1003	601
625	1004	600
626	1005	598
627	1006	595
628	1006	593
629	1007	591
630	1008	589
631	1009	587
632	1010	585
633	1010	583
634	1011	581
635	1012	579
636	1013	577
637	1014	575
638	1016	574
639	1019	573
640	1021	572
641	1022	570
642	1023	568
643	1024	566
644	1025	564
645	1025	562
646	1026	560
647	1027	558
648	1028	556
649	1028	553
650	1029	551
651	1031	550
652	1033	549
653	1034	547
654	1035	545
655	1035	543
656	1036	541
657	1037	539
658	1037	536
659	1038	534
660	1039	533
661	1040	531
662	1040	529
663	1041	526
664	1042	524
665	1042	522
666	1043	520
667	1044	518
668	1047	518
669	1048	516
670	1049	514
671	1050	512
672	1051	511
673	1052	509
674	1053	507
675	1054	505
676	1055	503
677	1056	501
678	1057	499
679	1057	497
680	1058	495
681	1059	494
682	1060	492
683	1060	490
684	1061	488
685	1062	486
686	1063	484
687	1064	482
688	1064	480
689	1065	478
690	1066	476
691	1066	474
692	1067	472
693	1068	470
694	1068	469
695	1069	467
696	1070	465
697	1071	463
698	1071	461
699	1072	459
700	1073	457
701	1074	456
702	1075	454
703	1076	452
704	1076	450
705	1077	448
706	1078	447
707	1079	445
708	1080	443
709	1080	441
710	1081	439
711	1082	437
712	1082	435
713	1083	434
714	1084	432
715	1084	430
716	1085	428
717	1086	426
718	1088	425
719	1089	423
720	1090	421
721	1090	420
722	1091	418
723	1092	416
724	1092	414
725	1093	412
726	1094	410
727	1095	409
728	1095	407
729	1096	405
730	1097	403
731	1098	402
732	1098	400
733	1099	398
734	1100	396
735	1101	395
736	1102	393
737	1103	391
738	1105	390
739	1108	389
740	1109	387
741	1109	385
742	1110	384
743	1111	382
744	1111	380
745	1112	378
746	1112	376
747	1113	375
748	1114	373
749	1114	371
750	1115	369
751	1116	368
752	1116	366
753	1117	364
754	1122	364
755	1123	362
756	1125	361
757	1126	359
758	1127	358
759	1128	356
760	1129	354
761	1129	352
762	1130	351
763	1136	351
764	1138	349
765	1139	348
766	1140	346
767	1141	344
768	1142	343
769	1143	341
770	1143	339
771	1144	338
772	1145	336
773	1147	335
774	1153	335
775	1156	333
776	1157	332
777	1158	330
778	1158	328
779	1159	327
780	1160	325
781	1165	325
782	1167	323
783	1171	322
784	1172	321
785	1173	319
786	1174	317
787	1175	316
788	1177	314
789	1180	313
790	1182	312
791	1185	311
792	1187	309
793	1188	308
794	1189	306
795	1190	305
796	1193	303
797	1195	302
798	1197	301
799	1205	301
800	1208	300
801	1209	298
802	1210	296
803	1211	295
804	1213	293
805	1215	292
806	1218	291
807	1219	289
808	1220	288
809	1221	286
810	1223	285
811	1225	283
812	1226	282
813	1230	281
814	1234	280
815	1236	278
816	1238	277
817	1239	275
818	1244	275
819	1248	273
820	1250	272
821	1251	270
822	1252	269
823	1253	267
824	1254	266
825	1254	264
826	1255	262
827	1255	260
828	1256	259
829	1256	257
830	1257	255
831	1258	254
832	1258	252
833	1259	250
834	1259	248
835	1263	247
836	1265	246
837	1267	245
838	1268	243
839	1268	241
840	1269	240
841	1270	238
842	1271	236
843	1272	235
844	1273	233
845	1274	232
846	1279	231
847	1280	229
848	1282	228
849	1283	226
850	1284	224
851	1285	223
852	1285	221
853	1286	219
854	1287	218
855	1288	216
856	1292	215
857	1297	214
858	1298	213
859	1300	211
860	1302	210
861	1303	208
862	1306	207
863	1309	206
864	1312	204
865	1313	203
866	1314	201
867	1315	200
868	1316	198
869	1317	196
870	1318	195
871	1324	194
872	1327	193
873	1329	191
874	1330	190
875	1331	188
876	1332	186
877	1332	185
878	1337	184
879	1343	183
880	1345	181
881	1346	180
882	1347	178
883	1347	176
884	1348	175
885	1351	173
886	1359	173
887	1360	171
888	1361	169
889	1362	168
890	1363	166
891	1364	165
892	1365	163
893	1367	162
894	1368	160
895	1373	159
896	1374	157
897	1375	156
898	1376	154
899	1377	153
900	1378	151
901	1379	149
902	1381	148
903	1383	146
904	1389	145
905	1390	144
906	1391	142
907	1392	141
908	1393	139
909	1393	137
910	1394	136
911	1401	135
912	1404	133
913	1405	132
914	1406	130
915	1407	129
916	1408	127
917	1409	125
918	1411	124
919	1416	123
920	1417	121
921	1418	120
922	1419	118
923	1420	116
924	1421	115
925	1422	113
926	1423	112
927	1423	110
928	1433	109
929	1434	107
930	1435	106
931	1436	104
932	1437	103
933	1438	101
934	1438	100
935	1440	98
936	1442	96
937	1443	95
938	1446	93
939	1448	92
940	1449	90
941	1450	89
942	1451	87
943	1452	86
944	1454	84
945	1455	83
946	1457	81
947	1458	79
948	1459	78
949	1461	76
950	1464	75
951	1467	73
952	1470	72
953	1472	70
954	1474	69
955	1475	67
956	1476	66
957	1477	64
958	1478	63
959	1481	61
960	1482	60
961	1484	58
962	1487	57
963	1489	55
964	1491	54
965	1492	52
966	1492	50
967	1495	49
968	1496	47
969	1497	46
970	1502	44
971	1503	43
972	1506	41
973	1507	40
974	1507	38
975	1511	37
976	1512	35
977	1515	34
978	1517	32
979	1518	30
980	1519	29
981	1520	27
982	1521	26
983	1522	24
984	1524	23
985	1525	21
986	1525	20
987	1528	18
988	1529	17
989	1530	15
990	1531	13
991	1532	12
992	1533	10
993	1533	9
994	1534	7
995	1534	6
996	1535	4
997	1536	3
998	1536	1
999	1537	0
